Sr.no,Topic,Difficulty,Question,Answer
264,core java ,Intermediate,Explain this code static{ System.out.println(hello); } main method prints nothing,It will print hello because static block runs when class is loaded before main
265,core java ,Intermediate,What will happen in this code class Test{ Test(){ this(); } },It will cause infinite constructor call and result in StackOverflowError
266,core java ,Intermediate,Explain this code Object o=new String(hi) System.out.println(o instanceof String),It will print true because object is actually holding String
267,core java ,Intermediate,What will be output of this code for(int i=0;i<3;i++){ } System.out.println(i),It will give compile error because i is not visible outside loop
268,core java ,Intermediate,Explain this code List list=new ArrayList list.add(null) list.add(null) System.out.println(list.size()),It will print 2 because list allows multiple null values
269,core java ,Intermediate,What will happen in this code Map map=new HashMap map.put(null 1) map.put(null 2) System.out.println(map.size()),It will print 1 because HashMap allows only one null key
270,core java ,Intermediate,Explain this code try{ System.exit(0); } finally{ System.out.println(end); },Finally will not run because JVM exits before it can execute
271,core java ,Intermediate,What will be output of this code String s1=hello String s2=s1 s2=world System.out.println(s1),It will print hello because changing s2 reference does not change s1
272,core java ,Advanced,Your application is getting OutOfMemoryError so how will you start debugging this,First I will check which area is running out of memory then I will analyze heap dump and see which objects are growing and then I will check why those objects are not getting released and fix the reference issue
273,core java ,Advanced,What exactly happens inside JVM when a method is called,When a method is called a new stack frame is created in stack and local variables are stored there and when method finishes that stack frame is removed
274,core java ,Advanced,If garbage collection is automatic then why do memory leaks still happen,Memory leaks happen when objects are still referenced even though we do not need them so garbage collector cannot remove them
275,core java ,Advanced,How do you decide whether to use strong reference or weak reference,If object must stay in memory I use strong reference and if it is cache like data then I use weak reference so GC can remove it
276,core java ,Advanced,Your HashMap is behaving slow when data grows so what can be the reason,It can be because of too many collisions or bad hashcode implementation or frequent resizing
277,core java ,Advanced,What actually happens when HashMap resizes,When HashMap reaches threshold it creates a bigger array and rehashes all existing entries which is costly operation
278,core java ,Advanced,Why is it dangerous to override equals without overriding hashCode,If both are not consistent then HashMap and HashSet will not work correctly and data may not be found
279,core java ,Advanced,In multithreading project how do you decide what code should be synchronized,Only the critical section which modifies shared data should be synchronized to avoid performance issues
280,core java ,Advanced,If synchronization is slowing down your program what alternatives can you think of,We can use concurrent collections atomic classes or reduce lock scope
281,core java ,Advanced,Can you explain what happens in deadlock situation with simple example,Thread A holds lock one and waits for lock two and Thread B holds lock two and waits for lock one so both wait forever
282,core java ,Advanced,How do you detect deadlock in running application,We can use thread dump and analyze blocked threads or use monitoring tools
283,core java ,Advanced,What is difference between notify and notifyAll in real usage,Notify wakes one waiting thread and notifyAll wakes all waiting threads which is safer in complex systems
284,core java ,Advanced,Why double checked locking was broken earlier and how it is fixed now,Earlier because of instruction reordering it was unsafe but with volatile keyword it works correctly now
285,core java ,Advanced,What is happens before relationship in multithreading,It guarantees that changes made by one thread are visible to another thread in correct order
286,core java ,Advanced,When do you prefer Runnable over Thread class,We prefer Runnable because Java does not support multiple inheritance and it separates task from thread
287,core java ,Advanced,Your CPU usage is high but memory is fine so what kind of issues you will suspect,I will suspect infinite loops busy waiting or too many threads doing active work
288,core java ,Advanced,What is thread starvation and how it happens,Thread starvation happens when some threads never get CPU time because other threads always take priority
289,core java ,Advanced,Can you explain difference between synchronized and ReentrantLock,Synchronized is simpler but ReentrantLock gives more control like try lock and fairness option
290,core java ,Advanced,Why wait and notify must be called inside synchronized block,Because they work on object monitor and without lock it will throw exception
291,core java ,Advanced,What is class loader and why it is important,Class loader loads classes into JVM and it helps in security and separation of namespaces
292,core java ,Advanced,Your application works locally but fails in server so what could be class loading issue,It can be because of different versions of libraries or classpath conflict
293,core java ,Advanced,What is reflection and why it should be used carefully,Reflection allows accessing private data and methods at runtime and it is slow and can break encapsulation
294,core java ,Advanced,Have you faced performance issue due to excessive object creation so how did you fix it,We reduced object creation by reusing objects and using pooling where possible
295,core java ,Advanced,Why immutable objects are automatically thread safe,Because their state never changes so multiple threads can use them without synchronization
296,core java ,Advanced,What problem does ThreadLocal solve in real applications,ThreadLocal gives each thread its own copy of variable so no synchronization is needed
297,core java ,Advanced,What is difference between fail fast and fail safe iterator in practice,Fail fast throws exception on modification and fail safe works on copy so it does not throw exception
298,core java ,Advanced,What happens if exception is thrown inside static block,Class will fail to load and program may crash
299,core java ,Advanced,How do you design custom exception and when do you use it,We create custom exception when we want to represent business specific error and handle it properly
300,core java ,Advanced,What is difference between shallow copy and deep copy in real bugs,Shallow copy causes shared data issue while deep copy creates independent objects
301,core java ,Advanced,What happens if two objects refer to each other and no one else refers them,Garbage collector can still remove them because it checks reachability not reference count
302,core java ,Advanced,Why finalize method is considered dangerous and not reliable,Because there is no guarantee when it will run and it can delay garbage collection
303,core java ,Advanced,What is memory visibility problem in multithreading,One thread changes value but other thread cannot see it because of CPU cache
304,core java ,Advanced,How volatile solves memory visibility problem,Volatile forces read and write from main memory so all threads see updated value
305,core java ,Advanced,What is difference between Callable and Runnable,Callable can return result and throw exception while Runnable cannot
306,core java ,Advanced,Your program hangs sometimes but no error is shown so how will you debug it,I will take thread dump and check blocked threads and deadlock situation
307,core java ,Advanced,What is difference between composition and inheritance in design decisions,Composition is more flexible and avoids tight coupling while inheritance is rigid
308,core java ,Advanced,Why we say favor composition over inheritance,Because composition allows changing behavior at runtime and reduces dependency
309,core java ,Advanced,What happens if hashCode always returns same value,All entries go into same bucket and HashMap becomes very slow like linked list
310,core java ,Advanced,What is happens if equals is slow and used in HashMap operations,HashMap operations become slow because equals is called frequently during lookup
311,core java ,Advanced,If you had to explain JVM to a junior what will you focus on,I will explain memory areas class loading garbage collection and how code actually runs
312,core java ,Advanced,What will happen in this code class Test{ static{ int a=10/0; } } when you run it,Class will fail to load and program will throw ExceptionInInitializerError
313,core java ,Advanced,Explain this code public static void main(String[] args){ try{ return; } finally{ System.out.println(end); } },It will print end because finally always executes even if return is called
314,core java ,Advanced,What will happen in this code class A{ A(){ foo(); } void foo(){ System.out.println(test); } int test=10; },It will print 0 because instance variables are not initialized yet when constructor runs
315,core java ,Advanced,Explain this code Map map=new HashMap map.put(new String(abc) 1) map.put(new String(abc) 2) System.out.println(map.size()),It will print 1 because equals and hashCode treat both keys as same
316,core java ,Advanced,What will happen in this code if two threads modify same HashMap at same time,It can cause data corruption or infinite loop because HashMap is not thread safe
317,core java ,Advanced,Explain this code volatile boolean flag=true while(flag){ } in multithreading context,Thread will not cache value and will always read latest value from memory
318,core java ,Advanced,What will happen in this code ExecutorService service=Executors.newSingleThreadExecutor service.submit(task) service.shutdownNow,Task may stop immediately because shutdownNow interrupts running thread
319,core java ,Advanced,Explain this code synchronized(this){ synchronized(this){ } },It will not deadlock because same thread can acquire same lock multiple times
320,core java ,Advanced,What will happen in this code Object o=new Object synchronized(o){ o.wait(); },Thread will go into waiting state and release the lock
321,core java ,Advanced,Explain this code Object o=new Object o.wait(),It will throw IllegalMonitorStateException because wait must be called inside synchronized block
322,core java ,Advanced,What will happen in this code Thread t=new Thread t.start t.start,It will throw IllegalThreadStateException because thread cannot be started twice
323,core java ,Advanced,Explain this code class Test{ public void finalize(){ System.out.println(clean); } },There is no guarantee when or if finalize will be called by JVM
324,core java ,Advanced,What will happen in this code List list=Collections.unmodifiableList(new ArrayList()) list.add(1),It will throw UnsupportedOperationException because list is read only
325,core java ,Advanced,Explain this code class A{ static int x=10; static{ x=20; } },Final value of x will be 20 because static block runs after variable initialization
326,core java ,Advanced,What will happen in this code String s=new String(hi) s.intern(),It will put string in string pool but s will still point to heap object
327,next javascript,Easy,Which folder typically holds all the routes in the modern App Router,The app directory
328,next javascript,Easy,"In the App Router, what file name is required to make a path publicly accessible",page.js (or page.tsx)
329,next javascript,Easy,How do you define a root layout that applies to the entire application,By creating a layout.js file at the root of the app directory
330,next javascript,Easy,What component is used for client-side navigation between pages,<Link> from next/link
331,next javascript,Easy,What is the default port for a Next.js development server,3000
332,next javascript,Easy,Which component is used to optimize images automatically,<Image /> from next/image
333,next javascript,Easy,"By default, are components in the App Router Server Components or Client Components?",Server Components
334,next javascript,Easy,How do you mark a component as a Client ComponentAdd the directive 'use client' at the top of the file,
335,next javascript,Easy,What is the purpose of the public folder,"It stores static assets like images, fonts, and icons that can be accessed directly via URL"
336,next javascript,Easy,How do you add a global CSS file,Import the CSS file into the root layout.js (or _app.js in Pages router)
337,next javascript,Easy,What file serves as a custom 404 page in the App Router,not-found.js
338,next javascript,Easy,What special file is used to show a loading UI while a route segment loads,loading.js
339,next javascript,Easy,"What is ""Fast Refresh""",A feature that preserves component state while you edit code and updates the UI instantaneously
340,next javascript,Easy,Can you use window or document in a Server Component,"No, because Server Components run only on the server where these browser APIs don't exist"
341,next javascript,Easy,What is the specific file used to handle runtime errors in a route segment,error.js
342,next javascript,Easy,What is the main benefit of the <Script> component over a standard <script> tag,It provides loading strategies (like lazyOnload or beforeInteractive) to optimize performance
343,next javascript,Easy,What HTTP methods correspond to the exported functions in route.js,"GET, POST, PUT, DELETE, etc"
344,next javascript,Easy,How do you programmatically navigate to a different page,Using the useRouter hook (from next/navigation)
345,next javascript,Easy,Can you use React Hooks in Server Components,"No, hooks (like useState, useEffect) generally require the Client runtime"
346,next javascript,Easy,How do you fetch data in a Server Component,By making the component async and using standard fetch
347,next javascript,Intermediate,"Explain ""Parallel Routes","Using ""slots"" (folders starting with @, e.g., @team) to render multiple pages simultaneously in the same layout"
348,next javascript,Intermediate,"What is ""Intercepting Routes""",A way to load a route within the current layout while keeping the URL context
349,next javascript,Intermediate,"What is ""On-Demand Revalidation""",Manually purging the data cache for a specific path or tag using revalidatePath() or revalidateTag()
350,next javascript,Intermediate,How do cookies work in Server Components,You use the cookies() helper from next/headers to read (but usually not set) cookies
351,next javascript,Intermediate,What is the purpose of middleware.ts,"To run code before a request completes, allowing you to modify the response, rewrite, redirect, or check auth headers"
352,next javascript,Intermediate,"How do you achieve a ""Shared Layout"" vs a ""Nested Layout""",Layouts nest by default based on directory structure; shared layouts persist state across page navigation within that subtree
353,next javascript,Intermediate,How do Server Actions change form handling,hey allow you to define async functions running on the server that can be called directly from client-side forms
354,next javascript,Intermediate,What is the purpose of useSearchParams,A Client Component hook to read the query string of the current URL
355,next javascript,Intermediate,"Explain ""Streaming"" in Next.js",Breaking down the page's HTML into chunks and sending them to the client progressively
356,next javascript,Intermediate,What is the Image component's priority prop,"It tells Next.js to preload the image, useful for ""Above the Fold"" LCP (Largest Contentful Paint) elements"
357,next javascript,Intermediate,Can you use getStaticProps and getServerSideProps in the same page file (Pages router),"No, you must choose one rendering strategy per page"
358,next javascript,Intermediate,"How do you handle ""Global State"" in the App Router layout",You must wrap the children in a Client Component that contains the Context Provider
359,next javascript,Intermediate,What is the behavior of <Link> regarding prefetching,"By default, it prefetches routes visible in the viewport to ensure instant navigation"
360,next javascript,Intermediate,What is the difference between headers() and cookies() functions,"Both are read-only in Server Components; headers() reads request headers, cookies() reads request cookies"
361,next javascript,Intermediate,What is the generateMetadata function,An async function in a page.js or layout.js to dynamically fetch and return metadata (SEO tags) based on route params
362,next javascript,Intermediate,How do you define a Robots.txt,By adding a robots.js (or .ts) file in the app directory
363,next javascript,Intermediate,"What is ""Partial Prerendering"" (Experimental)","A hybrid strategy where a shell is served statically while dynamic parts stream in, combining the best of SSG and SSR"
364,next javascript,Intermediate,Where should middleware.ts be placed,In the root of the project (same level as app or pages)
365,next javascript,Intermediate,"What is a ""Route Group""",A folder wrapped in parentheses (groupName) that organizes files without affecting the URL structure
366,next javascript,Intermediate,What is the difference between redirect() and permanentRedirect(),"redirect throws a 307 (temporary); permanentRedirect throws a 308 (permanent), usually for SEO changes"
367,next javascript,Advanced,"Explain the ""Two-Pass Rendering"" (Hydration Mismatch) error",It happens when the initial HTML rendered by the server does not match the HTML rendered by the first client render (common with dates or window usage)
368,next javascript,Advanced,"What is the Next.js ""Data Cache""",A persistent HTTP cache that stores the results of fetch requests across server requests and deployments
369,next javascript,Advanced,"What is the ""Full Route Cache""",A cache that stores the HTML and React Server Component Payload of a route at build time (or during revalidation)
370,next javascript,Advanced,How does router.refresh() work in the App Router,It refreshes the current route by re-fetching the Server Component data from the server without losing client-side state (like input values)
371,next javascript,Advanced,"What is the ""Edge Runtime""",A lightweight runtime (based on Web Standards) that allows Middleware or specific API routes to run closer to the user (CDN edge) with lower latency but limited Node.js API support
372,next javascript,Advanced,Explain the serialization boundary between Server and Client Components,Props passed from Server to Client components must be serializable (JSON-like). You cannot pass functions or class instances
373,next javascript,Advanced,How do you pass a Server Component as a child to a Client Component,You cannot import it directly; you must pass it as a children prop
374,next javascript,Advanced,What is useSelectedLayoutSegment,A hook to read the active route segment one level down from the layout where it is called (useful for active tab styling)
375,next javascript,Advanced,Why shouldn't you access headers() or cookies() in a Root Layout if you want it to be static,"Accessing dynamic request data forces the entire route to switch to Dynamic Rendering (SSR), opting out of static optimization"
376,next javascript,Advanced,"How does Next.js handle ""deduplication"" of fetch requests","If the same fetch call (same URL/options) is made multiple times in a render tree (e.g., in layout and page), Next.js automatically runs it only once (memoization)"
377,next javascript,Advanced,What is the downside of using generateStaticParams with too many paths,It increases build time significantly. It's often better to render popular paths at build time and let obscure ones render on demand
378,next javascript,Advanced,"How do ""Server Actions"" handle security/validation","Since they are public endpoints, you must manually validate user inputs and authorization (just like a standard API route) inside the action"
379,next javascript,Advanced,What is the generateImageMetadata function,"It allows programmatic generation of different versions of images (like Open Graph images) using code (e.g., using ImageResponse)"
380,next javascript,Advanced,How do you support Multi-Tenancy,Using Middleware to rewrite the URL based on the Host header to map subdomains to specific route folders
381,next javascript,Advanced,What is the conflict between getStaticProps and Middleware,"Middleware runs before the cache lookup. If middleware rewrites a path, it might bypass the static file served by getStaticProps or cause cache misses"
382,next javascript,Advanced,"Why might you encounter a ""hydration error"" when using Math.random()","The server generates one number, and the client generates a different one during hydration, causing a mismatch"
383,next javascript,Advanced,What is the typedRoutes experimental feature,"It generates strict TypeScript types for all your application links, preventing dead links at compile time"
384,next javascript,Advanced,What is the difference between npm run build caching vs Data Cache,The build cache (Webpack cache) speeds up the compilation process; the Data Cache stores API/DB responses to speed up user requests
385,next javascript,Advanced,Can you nest a Server Action inside a Client Component,"Yes, you can import a Server Action and pass it to a form or event handler in a Client Component"
386,next javascript,Advanced,"What is the ""RSC Payload""",A binary representation of the rendered Server Components tree sent to the client to update the DOM without invalidating Client Component state
387,node javascript,Easy,command to initialize a new Node.js project,npm init
388,node javascript,Easy,How do you install Express.js in your project,npm install express
389,node javascript,Easy,What function is used to start an Express server,"app.listen(port, callback)"
390,node javascript,Easy,How do you send a JSON response in Express,res.json({ key: 'value' })
391,node javascript,Easy,What is the purpose of node_modules,It contains all the installed dependency packages/libraries
392,node javascript,Easy,How do you export a function named myFunc from a module,module.exports = myFunc; or exports.myFunc = myFunc;
393,node javascript,Easy,How do you read a file asynchronously in Node.js,Using fs.readFile()
394,node javascript,Easy,How do you access environment variables in Node.js,process.env.VARIABLE_NAME
395,node javascript,Easy,What middleware parses incoming JSON payloads,express.json()
396,node javascript,Easy,What is the purpose of the next argument in a middleware function,It passes control to the next middleware function in the stack
397,node javascript,Easy,"What HTTP status code represents ""Not Found""",404
398,node javascript,Easy,"What HTTP status code represents ""Internal Server Error""",500
399,node javascript,Easy,How do you stop a running Node process in the terminal,Ctrl + C
400,node javascript,Easy,How do you import a local file named helper.js,const helper = require('./helper');
401,node javascript,Easy,What is the command to uninstall a package,npm uninstall package-name
402,node javascript,Easy,What is nodemon used for,Automatically restarting the Node application when file changes are detected
403,node javascript,Easy,How do you access the request body in Express,req.body
404,node javascript,Easy,Is require synchronous or asynchronous,Synchronous
405,node javascript,Easy,Which object allows you to access dynamic route parameters,req.params
406,node javascript,Easy,How do you import the http module in Node.js,const http = require('http');
407,node javascript,Intermediate,What is the difference between app.use() and app.get(),"app.use() applies middleware to all requests (or a specific path prefix), whereas app.get() only matches GET requests for a specific route"
408,node javascript,Intermediate,How do you handle 404 errors in Express,Add a middleware function at the very end of the stack that sends a 404 response
409,node javascript,Intermediate,"Explain the concept of ""Error Handling Middleware""","It is a function with 4 arguments: (err, req, res, next). Express recognizes this signature as an error handler"
410,node javascript,Intermediate,Why shouldn't you block the Event Loop,Because Node.js is single-threaded; blocking it prevents the server from handling any other incoming requests
411,node javascript,Intermediate,How do you safely handle secrets (API keys) in Node,Use environment variables (via dotenv package) and never commit .env files to version control
412,node javascript,Intermediate,How do you execute multiple asynchronous tasks in paralle,Using Promise.all()
413,node javascript,Intermediate,What is the purpose of express.Router(),"It creates modular, mountable route handlers (mini-apps) to organize routes into separate files"
414,node javascript,Intermediate,What is the difference between res.send() and res.json(),"res.json() enforces proper JSON headers and formatting, while res.send() automatically detects content type (text/html/json) based on the data"
415,node javascript,Intermediate,"What is a ""Stream"" in Node.js",An abstract interface for working with streaming data
416,node javascript,Intermediate,How does Node.js handle file uploads,Typically using middleware like multer or express-fileupload to handle multipart/form-data
417,node javascript,Intermediate,What is the difference between spawn and exec in the child_process module,"spawn returns a stream (better for large data/long processes), while exec buffers the output and returns it all at once (better for small commands)"
418,node javascript,Intermediate,What is a JWT (JSON Web Token),A stateless way to handle authentication where a signed token is sent to the client and sent back with requests to verify identity
419,node javascript,Intermediate,What is the default timeout for a Node.js HTTP server,"Typically 2 minutes (120,000 ms), but it is configurable"
420,node javascript,Intermediate,"What is the ""Callback Pattern""",Passing a function as an argument to handle the result (error or data) of an asynchronous operation once it completes
421,node javascript,Intermediate,Why do we prefer async/await over callbacks,"It avoids ""Callback Hell"" and makes asynchronous code look and behave more like synchronous code, improving readability"
422,node javascript,Intermediate,What is the difference between dependencies and peerDependencies,dependencies are required to run the app; peerDependencies expect the host project to have a specific version of a package installed (common in plugins)
423,node javascript,Intermediate,How do you connect to a MongoDB database in Node,Typically using the mongoose library or the native mongodb driver
424,node javascript,Intermediate,What happens if you try to res.send twice in the same reques,"Express will throw an error: ""Error: Can't set headers after they are sent"
425,node javascript,Intermediate,How do you structure a large Express application,"MVC Pattern (Model-View-Controller) or separating into routes, controllers, services, and models folders"
426,node javascript,Intermediate,What is Cross-Origin Resource Sharing (CORS),A browser security feature; you handle it in Express using the cors middleware to allow requests from different domains
427,node javascript,Advanced,Explain the Phases of the Node.js Event Loop,Timers -> Pending Callbacks -> Idle/Prepare -> Poll (I/O) -> Check (setImmediate) -> Close Callbacks
428,node javascript,Advanced,"Node.js is single-threaded, but how does it handle file I/O operations concurrently","libuv uses a thread pool (default 4 threads) to handle ""expensive"" tasks like file I/O and crypto off the main thread"
429,node javascript,Advanced,What is the Cluster Module,"A module that allows you to create child processes (workers) that share the same server port, enabling Node to utilize multi-core systems"
430,node javascript,Advanced,"What are ""Worker Threads""","A module (worker_threads) that enables true multi-threading for CPU-intensive JavaScript tasks (unlike Cluster, which splits processes)"
431,node javascript,Advanced,How would you debug a Memory Leak in Node.js,"Using Chrome DevTools ""Memory"" tab (Heap Snapshots), looking for detached objects or huge closures"
432,node javascript,Advanced,What is Backpressure in Streams,When the data buffer fills up faster than the consumer can process it; .pipe() handles this automatically by pausing the readable stream
433,node javascript,Advanced,Difference between Horizontal Scaling and Vertical Scaling in Node,Vertical: Adding more RAM/CPU to the single server. Horizontal: Adding more server instances and using a Load Balancer
434,node javascript,Advanced,"What is a Reverse Proxy (e.g., Nginx) and why use it with Node","It sits in front of Node, handling SSL termination, static files, compression, and load balancing, protecting the Node process"
435,node javascript,Advanced,What is Buffer in Node.js,"A global class to handle binary data (raw memory allocation) directly, necessary because JS originally only handled strings"
436,node javascript,Advanced,"Explain ""Keep-Alive"" in HTTP and how it affects Node","It keeps the TCP connection open for multiple requests, reducing handshake overhead. Node enables this by default in recent versions"
437,node javascript,Advanced,Difference between fork() and spawn(),fork is a special case of spawn specifically for Node processes; it establishes an IPC (Inter-Process Communication) channel between parent and child.
438,node javascript,Advanced,How does Express handle template engines,"Using app.set('view engine', 'pug') and res.render()"
439,node javascript,Advanced,"What is ""Middleware Chaining""",The mechanism where multiple middleware functions are executed in sequence using next(
440,node javascript,Advanced,How do you gracefully shut down a Node server,"Listen for SIGTERM/SIGINT signals, stop accepting new connections (server.close()), finish pending requests, close DB connections, then exit"
441,node javascript,Advanced,What is the difference between TCP and UDP,"TCP is reliable/ordered (HTTP, WebSockets); UDP is fast/unreliable (Video streaming, DNS). Node supports both via net and dgram modules"
442,node javascript,Advanced,"What is a ""Zombie Process""",A child process that has completed execution but still has an entry in the process table
443,node javascript,Advanced,How does Node.js Garbage Collection work,"It uses V8's ""Mark-and-Sweep"" algorithm. It pauses execution (Stop-the-World) to free memory, which is why optimizing memory usage is critical"
444,node javascript,Advanced,"What is ""Event Emitter"" synchronous or asynchronous","Synchronous by default. When you .emit(), all listeners are called immediately in order"
445,node javascript,Advanced,What is the maximum size of a single Buffer in Nod,"On 64-bit systems, it is usually 2GB"
446,node javascript,Advanced,What is REPL,Read-Eval-Print Loop. The interactive shell you get when you type node in the terminal
447,mongodb,Easy,what exactly is mongodb and how is it different from sql,Mongodb is a nosql document oriented database unlike sql which uses tables and rows mongo uses collections and documents the big difference is that its schemaless meaning documents in the same collection dont have to have the same fields
448,mongodb,Easy,What is bson,It stands for binary json it is the format mongodb uses to store data like json but supports more data types like date and bindata and optimized for speed and space
449,mongodb,Easy,How do you start the mongodb shell,in the terminal you just type mongosh to connect to the running instance
450,mongodb,Easy,What is the default port for mongodb,the default port for mongodb is 27017
451,mongodb,Easy,What is a collection in mongodb,A collection is equivalent to a table in rdbms it is a group of mongodb documents
452,mongodb,Easy,How do you see all the databases on your server,Just type show dbs
453,mongodb,Easy,What command do you use to insert a single document,db.collection.insertOne({ ... })
454,mongodb,Easy,What is the id field,It is a unique identifier for every document if you dont provide one mongodb automatically generates an objectid for you
455,mongodb,Easy,How do you find a document where the name is Barrel,"db.users.find({ name: ""Barrel"" })"
456,mongodb,Easy,What is the 16mb limit,A single bson document in mongodb cannot exceed 16 megabytes
457,mongodb,Easy,What are roles in mongodb,They define permissions for examples read readwrite and dbadmin
458,mongodb,Easy,What is the mongod process,It is the primary daemon process for the mongodb system the server itself
459,mongodb,Easy,How do you check server status,db.serverStatus()
460,mongodb,Easy,What is mongodb atlas,mongodb atlas is the fully managed cloud version of mongodb provided as a service
461,mongodb,Easy,What is the use of push operator,It appends a new value to an array
462,mongodb,Easy,What is the use of pop,It removes either the first or the last element from an array
463,mongodb,Easy,How to rename a collection,"db.collection.renameCollection(""new_name"")"
464,mongodb,Intermediate,What is the difference between find and findone function,find returns a cursor to all matching documents while findone returns the actual first document that matches the criteri
465,mongodb,Intermediate,How do you update a specific field without overwriting the whole document,by use the set operator if you dont use set mongodb will replace the entire document with your new input
466,mongodb,Intermediate,How do you sort results in mongodb,Using the sort method Pass 1 for ascending and -1 for descending
467,mongodb,Intermediate,Explain projection in mongodb,Projection is used to select only the fields you need
468,mongodb,Intermediate,What are comparison operators in mongo,gt greater than lt less than gte greater or equal and ne not equal
469,mongodb,Intermediate,What does $match do in aggregation,It filters the documents similar to the find query or the where clause in sql it is best to put it at the start of the pipeline
470,mongodb,Intermediate,Can you sort inside an aggregation,yes using the operator $sort stage
471,mongodb,Intermediate,What is the primary node,The node that receives all write operations by default it also handles all reads unless configured otherwise
472,mongodb,Intermediate,Difference between vertical and horizontal scaling,Vertical is adding more ram and cpu to one server and  horizontal is adding more servers mongodb scales horizontally via sharding
473,mongodb,Intermediate,How do you handle one to many relationships,Either by nesting an array of sub documents or by storing the id of the parent in the child document
474,mongodb,Intermediate,How do you create a backup in mongodb,Using the mongodump utility to restore it you use mongorestore
475,mongodb,Intermediate,How do you find the current operations running on a server,db.currentOp()
476,mongodb,Intermediate,How do you update an item inside an array by its index,Using the dot notation like tags.0 to target the first item
477,mongodb,Intermediate,What is the size operator,It matches documents where an array is exactly a certain size
478,mongodb,Intermediate,What is the $regex operator,It allows you to search for strings using regular expressions
479,mongodb,Intermediate,How to count unique visitors,Use a Set and $addtoset with user ids or use an aggregation pipeline with $group
480,mongodb,Intermediate,How would you handle a search feature for blog posts,I would create a text index on the title and content fields and use the $text operator
481,mongodb,Advanced,Why indexes are important in mongodb,Without them mongodb has to do a collection scan indexes store a small portion of the data in a traversable form to speed up searches
482,mongodb,Advanced,What is a compound index,Compound index is an index on multiple fields
483,mongodb,Advanced,Explain covered queries,A query is covered if the index contains all the fields requested by the query mongodb doesnt even need to look at the documents themselves
484,mongodb,Advanced,What is a TTL Index,Time to live index it automatically removes documents from a collection after a certain amount of time
485,mongodb,Advanced,Can you index an array field,Yes thats called a multikey index mongodb creates an index entry for every element in the array
486,mongodb,Advanced,What is the aggregation pipeline,Aggregation pipeline is a framework for data processing you pass documents through stages like $match $group and $sort to transform them into a final result
487,mongodb,Advanced,What is the $unwind stage,If a document has an array $unwind breaks it into multiple documents one for each element in the array this lets you run operations on individual array items
488,mongodb,Advanced,How to implement a global search across all collections,Mongodb doesnt support this natively you would either need to aggregate results in the app or use atlas Search
489,mongodb,Advanced,How do you handle concurrency when two users update the same document,Mongodb uses optimistic locking we can also implement a version field or use atomic operators like $set to ensure one doesnt wipe the other
490,mongodb,Advanced,A user changes their username how do you update it across the app,If i referenced the user id i only update the user document if i embedded the username everywhere I would  have to run an updatemany across multiple collections
491,mongodb,Advanced,What is the $expr operator,It allows you to use aggregation expressions within a regular query like comparing two fields in the same document
492,mongodb,Advanced,What is the positional operator,Positional operator is used in an update to identify the specific element in an array that matched your query filter
493,mongodb,Advanced,What is journaling,It is a log that helps mongodb recover in case of a crash by keeping track of data changes before they are written to the data files
494,mongodb,Advanced,What is polymorphic schema,when documents in a collection have different structures but represent the same general entity
495,mongodb,Advanced,Is mongodb acid compliant,Yes since version 4.0 mongodb supports multi document transactions with acid properties
496,mongodb,Advanced,Can you join three collections,Yes by chaining multiple $lookup stages in an aggregation pipeline
497,mongodb,Advanced,Why is mongodb called scalable,Because of sharding you can keep adding cheap commodity hardware to a cluster to handle more data and traffic without a single massive server
498,postgresql,Easy,Lets start with the basics what exactly is PostgreSQL,Postgresql often called Postgres is an advanced open source object relational database management system its known for its reliability and its ability to handle complex data workloads
499,postgresql,Easy,What is the primary difference between a primary key and a unique key,a table can have only one primary key and it cannot be null a unique key allows for null values and you can have multiple unique keys in one table
500,postgresql,Easy,What data type would you use for a true false value,The boolean data type
501,postgresql,Easy,How do you add a new column to an existing table,Using the alter table command
502,postgresql,Easy,What command is used to delete all records from a table without deleting the table itself,You can use truncate or delete
503,postgresql,Easy,How do you sort the results of a query,Using the order by clause followed by asc for ascending or desc for descending
504,postgresql,Easy,What is the difference between varchar and text in Postgres,In Postgres there is no performance difference varchar n has a limit while text is for strings of unlimited length
505,postgresql,Easy,What is the like operator used for,it used for pattern matching for example where name like a% finds all names starting with a
506,postgresql,Easy,What is the difference between delete and drop,delete removes rows from a table drop removes the entire table structure from the database
507,postgresql,Easy,How do you handle case insensitive text searching,I can use the ilike operator instead of like or use the lower function on the column
508,postgresql,Easy,What is the difference between rollback and abort,in postgres they are synonyms both will cancel the current transaction and discard all changes
509,postgresql,Easy,How do you check the version of the postgres server,Using the query select version
510,postgresql,Easy,What is the default port for Postgres,The default port is 5432
511,postgresql,Easy,How do you log into the postgres command line interface,We use the command line tool called psql
512,postgresql,Easy,if i am inside psql how do i list all the tables in my database,You just use the shortcut command \dt
513,postgresql,Easy,What is the search path,Its a setting that tells Postgres which schemas to look in when you reference a table without a schema prefix
514,postgresql,Easy,What is postgis,Its the most famous postgres extension it adds support for geographic objects allowing you to run locationbased queries
515,postgresql,Intermediate,Explain the difference between inner join and left join, inner join returns rows only when there is a match in both tables left join returns all rows from the left table even if there are no matches in the right table
516,postgresql,Intermediate,What is a schema in postgresql,A schema is a namespace that contains named objects like tables views and indexes its a way to organize database objects into logical groups
